abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"The steamship Illinois from Charges for New-York put into Norfolk to-day short of coal. She brings the California mails, 400 passengers and $1,000 in gold on ?? beside a large amount in the bands of passengers. The Illinois left Charges on the 9th and Kingston (Jam.) on the 12th ??. The Falcon was at Charges when the Illinois sailed The steamship Brother Jonathan for New-York sailed from Kingston 8 hours in advance of the Illinois.  ",https://www.nytimes.com/1851/09/19/archives/latest-intelligence-by-telegraph-to-the-newyork-times-later-from.html,,,2,The New York Times,[],"{'main': 'LATEST INTELLIGENCE; By Telegraph to The New-York Times. LATER FROM CALIFORNIA. Arrival of the Illinois and Brother Jonathan. $2,100,000 IN GOLD.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LATEST INTELLIGENCE; By Telegraph to The New-York Times. LATER FROM CALIFORNIA. Arrival of the Illinois and Brother Jonathan. $2,100,000 IN GOLD.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/01f65d0f-f654-5fc8-91f5-4a5651a1b14b,0,nyt://article/01f65d0f-f654-5fc8-91f5-4a5651a1b14b
"In pursuance of an act of the Legislature a work under this title has been prepared by Samuel S. Rental, Esq., Deputy Superintendent of Common Schools, which is now in press and will shortly he given to the public. It comprises the general laws of the State in relation to Common Schools, with full expositions, instructions and forms for the use of school officers and the people;  ",https://www.nytimes.com/1851/09/19/archives/the-common-school-system-of-the-state-of-newyork.html,,,3,The New York Times,[],"{'main': 'The Common School System of the State of New-York.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Common School System of the State of New-York.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/0a2ea12c-0073-50fe-84f5-749adb621c7e,0,nyt://article/0a2ea12c-0073-50fe-84f5-749adb621c7e
,https://www.nytimes.com/1851/09/18/archives/loss-of-the-brig-fashion-of-baltimore.html,,,4,The New York Times,[],"{'main': 'Loss of the Brig Fashion, of Baltimore.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Loss of the Brig Fashion, of Baltimore.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/0c662afa-0c70-5e71-a6ce-2f57938ba364,0,nyt://article/0c662afa-0c70-5e71-a6ce-2f57938ba364
,https://www.nytimes.com/1851/09/19/archives/great-britain-the-queens-visit-to-scotlandhobbs-the-american.html,,,4,The New York Times,[],"{'main': ""GREAT BRITAIN.; The Queen's Visit to Scotland--Hobbs, the American Lock-Picker--American Articles at the Exhibition--Sir Robert Peel--Fergus O'Connor--Gold in Australia--Theatrical News, & c., & c."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""GREAT BRITAIN.; The Queen's Visit to Scotland--Hobbs, the American Lock-Picker--American Articles at the Exhibition--Sir Robert Peel--Fergus O'Connor--Gold in Australia--Theatrical News, & c., & c."", 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': 'Correspondence of The New-York Daily Times', 'person': [{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0e681015-a4bc-5cdc-a6ad-b54afd98dc66,0,nyt://article/0e681015-a4bc-5cdc-a6ad-b54afd98dc66
,https://www.nytimes.com/1851/09/18/archives/itive-salve-case-in-philadelphia.html,,,4,The New York Times,[],"{'main': '??itive Salve Case in Philadelphia', 'kicker': '1', 'content_kicker': None, 'print_headline': '??itive Salve Case in Philadelphia', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/124d7a3a-014d-56f9-a4c8-8617690edf19,0,nyt://article/124d7a3a-014d-56f9-a4c8-8617690edf19
"We trust our Government has already made application to the Spanish authorities of Cuba, for the release of the Americans who are confined at Havana. We have no claims for their sur render. They were taken in arms against the Government of Cuba. Thoey had divested them selves of their American citizenship before theyleft.  ",https://www.nytimes.com/1851/09/19/archives/the-cuban-prisoners.html,,,2,The New York Times,[],"{'main': 'The Cuban Prisoners.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Cuban Prisoners.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/1761874c-e626-5515-8157-12f7fd44e42a,0,nyt://article/1761874c-e626-5515-8157-12f7fd44e42a
"THE UNITED STATES DISTRICT COURT--Before Judge BETTS.--The Grand Jury came into Court with true bills in the following cases, viz: The United States vs. Wm. McIntosh and ten others--For making a revolt on board the ship Columbus. The defendants were arraigned, and pleaded not guilty.  ",https://www.nytimes.com/1851/09/18/archives/article-17-no-title-court-of-general-sessions.html,,,3,The New York Times,[],"{'main': 'Article 17 -- No Title; COURT OF GENERAL SESSIONS', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 17 -- No Title; COURT OF GENERAL SESSIONS', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/1dd36adc-ae2c-5c1c-a2f0-f05270ce43fc,0,nyt://article/1dd36adc-ae2c-5c1c-a2f0-f05270ce43fc
"America still' adds to her laurels in England. In addition to making the fastest yachts, the best plough, the most serviceable reaping ma chines, , , She can now boast of outdoing the-world in picking locks. The distinction is of somewhat questionable character; generally the persons who have been most expert at thisbusiness, have not enjoyed in the highest degree.  ",https://www.nytimes.com/1851/09/19/archives/the-battle-of-the-locks.html,,,2,The New York Times,[],"{'main': 'The Battle of the Locks.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Battle of the Locks.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/1ec6bb08-cb66-5c84-8613-9255e3b16b3c,0,nyt://article/1ec6bb08-cb66-5c84-8613-9255e3b16b3c
,https://www.nytimes.com/1851/09/18/archives/article-6-no-title.html,,,2,The New York Times,[],"{'main': 'Article 6 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 6 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/20799390-38b8-5844-b8f7-2b6cd69d0bd5,0,nyt://article/20799390-38b8-5844-b8f7-2b6cd69d0bd5
,https://www.nytimes.com/1851/09/18/archives/article-16-no-title.html,,,3,The New York Times,[],"{'main': 'Article 16 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 16 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/2526c5b0-dbc6-533e-b362-0c543cc7b7e8,0,nyt://article/2526c5b0-dbc6-533e-b362-0c543cc7b7e8
